decode_head.fpn_convs.2.conv.weight	torch.Size([1024, 1024, 3, 3])
decode_head.fpn_convs.2.bn.weight	torch.Size([1024])
decode_head.fpn_convs.2.bn.bias	torch.Size([1024])
decode_head.fpn_convs.2.bn.running_mean	torch.Size([1024])
decode_head.fpn_convs.2.bn.running_var	torch.Size([1024])
decode_head.fpn_convs.2.bn.num_batches_tracked	torch.Size([])
decode_head.fpn_bottleneck.conv.weight	torch.Size([1024, 4096, 3, 3])
decode_head.fpn_bottleneck.bn.weight	torch.Size([1024])
decode_head.fpn_bottleneck.bn.bias	torch.Size([1024])
decode_head.fpn_bottleneck.bn.running_mean	torch.Size([1024])
decode_head.fpn_bottleneck.bn.running_var	torch.Size([1024])
decode_head.fpn_bottleneck.bn.num_batches_tracked	torch.Size([])
